uni_name,uni_cd_name,department_name,qs_world_rank,us_news_rank_world,us_rank,law_school_rank_us,business_school_rank_us,medicine_school_rank_us,medicine_school_rank_us,gpa,gre,toefl,ielts,gmat,ctry_cd,number_of_applications,number_of_admissions
Harvard University,HARVARD,General,,,,,,,,"3,88",327,107,,,US,,
Harvard University,HARVARD,Faculty of Arts and Sciences,,,,,,,,0,0,0,,,US,3,0
Harvard University,HARVARD,School of Engineering and Applied Sciences,,,,,,,,"3,92",326,104,,,US,201,51
Harvard University,HARVARD,School of Public Health,,,,,,,,"3,94",330,110,,,US,64,43
Harvard University,HARVARD,Graduate School of Arts & Sciences,,,,,,,,"3,86",329,113,,,US,15,8
Harvard University,HARVARD,Medical School,,,,,,,,"3,94",325,161,,,US,11,8
Harvard University,HARVARD,Graduate School of Design,,,,,,,,"3,81",315,105,,,US,13,7
Harvard University,HARVARD,Business School,,,,,,,,0,0,0,,,US,0,0
Harvard University,HARVARD,John F. Kennedy School of Government,,,,,,,,0,0,0,,,US,0,0
Harvard University,HARVARD,Graduate School of Education,,,,,,,,0,0,0,,,US,1,1
Massachusetts Institute of Technology,MIT,General,,,,,,,,"3,87",329,107,,,US,,
Massachusetts Institute of Technology,MIT,Sloan School of Management,,,,,,,,"3,8",330,110,,,US,84,36
Massachusetts Institute of Technology,MIT,School of Engineering,,,,,,,,"3,93",327,107,,,US,59,17
Massachusetts Institute of Technology,MIT,Schwarzman College of Computing,,,,,,,,"3,9",326,106,,,US,62,17
Massachusetts Institute of Technology,MIT,School of Science,,,,,,,,0,0,0,,,US,5,0
Massachusetts Institute of Technology,MIT,"School of Humanities, Arts, and Social Sciences",,,,,,,,0,0,0,,,US,0,0
Massachusetts Institute of Technology,MIT,School of Architecture and Planning,,,,,,,,"3,66",335,101,,,US,12,3
Stanford University,STANFORD,General,,,,,,,,"3,91",328,107,,,US,,
Stanford University,STANFORD,School of Engineering,,,,,,,,"3,94",329,109,,,US,342,109
Stanford University,STANFORD,School of Humanities & Sciences,,,,,,,,"3,99",330,105,,,US,46,14
Stanford University,STANFORD,School of Medicine,,,,,,,,"3,6",328,108,,,US,5,2
Stanford University,STANFORD,"School of Earth, Energy& Environmental Sciences",,,,,,,,0,0,0,,,US,1,0
Stanford University,STANFORD,School of Graduate,,,,,,,,"3,85",325,109,,,US,6,3
Stanford University,STANFORD,Department of Music,,,,,,,,0,0,0,,,US,1,0
Stanford University,STANFORD,Department of Communication,,,,,,,,0,0,0,,,US,0,0
"University of California, Berkeley",BERKELEY,General,,,,,,,,"3,83",327,106,,,US,,
"University of California, Berkeley",BERKELEY,School of Information,,,,,,,,"3,7",329,107,,,US,44,13
"University of California, Berkeley",BERKELEY,College of Engineering,,,,,,,,"3,87",327,106,,,US,551,403
"University of California, Berkeley",BERKELEY,"Division of Computing, Data Science & Society",,,,,,,,"3,84",327,108,,,US,36,17
"University of California, Berkeley",BERKELEY,Boot Camps,,,,,,,,"3,79",326,104,,,US,17,13
"University of California, Berkeley",BERKELEY,School of Public Health,,,,,,,,"3,9",330,110,,,US,24,7
"University of California, Berkeley",BERKELEY,College of Environmental Design,,,,,,,,"3,81",0,108,,,US,13,12
"University of California, Berkeley",BERKELEY,College of Letters & Science (L&S),,,,,,,,"3,9",329,106,,,US,3,3
"University of California, Berkeley",BERKELEY,Rausser College of Natural Resources,,,,,,,,0,0,0,,,US,1,0
"University of California, Berkeley",BERKELEY,Goldman School of Public Policy,,,,,,,,"3,8",0,112,,,US,2,1
"University of California, Berkeley",BERKELEY,College of Chemistry,,,,,,,,"3,96",323,102,,,US,4,2
University of Oxford,OXFORD,General,,,,,,,,"3,85",328,108,,,UK,,
University of Oxford,OXFORD,Department of Statistics,,,,,,,,0,0,0,,,UK,0,0
University of Oxford,OXFORD,Department of Materials,,,,,,,,0,0,0,,,UK,0,0
University of Oxford,OXFORD,Social Sciences Division,,,,,,,,0,0,0,,,UK,2,1
University of Oxford,OXFORD,Saïd business school,,,,,,,,4,333,114,,,UK,6,3
University of Oxford,OXFORD,Department of Engineering Science,,,,,,,,0,0,0,,,UK,0,0
University of Oxford,OXFORD,"Mathematical, Physical and Life Sciences",,,,,,,,"3,85",329,106,,,UK,57,34
University of Oxford,OXFORD,Medical Sciences Division,,,,,,,,"3,65",321,103,,,UK,2,2
University of Oxford,OXFORD,Department of Computer Science,,,,,,,,0,0,0,,,UK,0,0
University of Oxford,OXFORD,Mathematical Institute,,,,,,,,"3,92",330,108,,,UK,13,11
University of Oxford,OXFORD,Department of Economics,,,,,,,,0,0,0,,,UK,0,0
"University of Washington, Seattle",UW,General,,,,,,,,"3,7",324,103,,,US,,
"University of Washington, Seattle",UW,College of Engineering,,,,,,,,"3,7",323,103,,,US,403,247
"University of Washington, Seattle",UW,Michael G. Foster School of Business,,,,,,,,"3,5",324,103,,,US,45,39
"University of Washington, Seattle",UW,The Information School,,,,,,,,"3,72",326,107,,,US,78,44
"University of Washington, Seattle",UW,College of Arts & Sciences,,,,,,,,"3,79",327,106,,,US,162,132
"University of Washington, Seattle",UW,The Graduate School,,,,,,,,"3,71",327,101,,,US,41,19
"University of Washington, Seattle",UW,SCHOOL OF PUBLIC HEALTH,,,,,,,,"3,77",325,104,,,US,59,34
"University of Washington, Seattle",UW,College of the Environment,,,,,,,,90,329,103,,,US,1,1
"University of Washington, Seattle",UW,Daniel J. Evans School of Public Policy & Governance,,,,,,,,"3,34",323,101,,,US,2,2
"University of Washington, Seattle",UW,Global Innovation Exchange(GIX),,,,,,,,"3,62",322,106,,,US,42,41
"University of Washington, Seattle",UW,School of Medicine,,,,,,,,"3,74",0,107,,,US,2,2
Columbia University,COLUMBIA,General,,,,,,,,"3,78",325,105,,,US,,
Columbia University,COLUMBIA,School of Engineering,,,,,,,,"3,8",326,105,,,US,1171,1006
Columbia University,COLUMBIA,Department of Statistics,,,,,,,,"3,77",325,106,,,US,198,173
Columbia University,COLUMBIA,Mailman School of public health,,,,,,,,"3,68",324,105,,,US,98,93
Columbia University,COLUMBIA,Teachers College,,,,,,,,"3,7",325,107,,,US,53,49
Columbia University,COLUMBIA,Date Science Institute,,,,,,,,"3,83",327,106,,,US,187,167
Columbia University,COLUMBIA,Institute for Social and Economic Research and Policy,,,,,,,,"3,8",327,104,,,US,16,13
Columbia University,COLUMBIA,Department of Mathematics,,,,,,,,"3,85",330,109,,,US,80,60
Columbia University,COLUMBIA,School of Business,,,,,,,,"3,85",328,104,,,US,45,40
Columbia University,COLUMBIA,Graduate School of Arts and Sciences,,,,,,,,"3,88",329,110,,,US,28,21
Columbia University,COLUMBIA,School of Professional Studies,,,,,,,,"3,66",323,105,,,US,108,87
Columbia University,COLUMBIA,School of Social Work,,,,,,,,"3,45",325,0,,,US,2,2
Columbia University,COLUMBIA,School of International and Public Affairs,,,,,,,,"3,61",328,110,,,US,11,10
Columbia University,COLUMBIA,"Graduate School of Architecture, Planning",,,,,,,,"3,3",0,100,,,US,2,2
Columbia University,COLUMBIA,Department of Music,,,,,,,,0,0,0,,,US,0,0
Columbia University,COLUMBIA,School of Journalism,,,,,,,,0,0,0,,,US,0,0
Columbia University,COLUMBIA,Department of Economics,,,,,,,,0,0,0,,,US,1,0
University of Cambridge,CAMBRIDGE,General,,,,,,,,"3,9",328,108,,,UK,343,234
University of Cambridge,CAMBRIDGE,School of Physical Sciences,,,,,,,,"3,9",326,107,,,UK,5,4
University of Cambridge,CAMBRIDGE,Cambridge Judge Business School,,,,,,,,"3,85",319,109,,,UK,6,6
University of Cambridge,CAMBRIDGE,School of Humanities and Social Sciences,,,,,,,,"3,94",327,111,,,UK,6,4
University of Cambridge,CAMBRIDGE,School of Technology,,,,,,,,"3,9",327,110,,,UK,29,22
University of Cambridge,CAMBRIDGE,School of Clinical Medicine,,,,,,,,0,0,0,,,UK,1,0
California Institute Of Technology,CALTECH,General,,,,,,,,"3,93",328,106,,,US,220,88
California Institute Of Technology,CALTECH,DIVISION OF ENGINEERING & APPLIED SCIENCE,,,,,,,,"3,88",325,109,,,US,36,13
California Institute Of Technology,CALTECH,Division of Chemistry and Chemical Engineering,,,,,,,,"3,99",0,104,,,US,3,2
California Institute Of Technology,CALTECH,"Division of Physics, Mathematics and Astronomy",,,,,,,,0,0,0,,,US,2,0
Johns Hopkins University,JHU,General,,,,,,,,"3,72",325,104,,,,3622,2637
Johns Hopkins University,JHU,Whiting School of Engineering,,,,,,,,"3,75",325,104,,,,848,587
Johns Hopkins University,JHU,Bloomberg School of Public Health,,,,,,,,"3,83",327,107,,,,78,48
Johns Hopkins University,JHU,Carey Business School,,,,,,,,"3,61",325,103,,,,175,150
Johns Hopkins University,JHU,School of Advanced International Studies,,,,,,,,"3,75",325,105,,,,5,5
Johns Hopkins University,JHU,Department of Mechanical Engineering,,,,,,,,0,0,0,,,,0,0
Johns Hopkins University,JHU,School of Arts & Sciences,,,,,,,,"3,45",326,106,,,,6,5
Johns Hopkins University,JHU,Johns Hopkins School of Medicine,,,,,,,,"3,58",321,103,,,,2,1
Johns Hopkins University,JHU,School of Education,,,,,,,,"3,73",325,103,,,,7,7
Johns Hopkins University,JHU,Peabody Institute,,,,,,,,0,0,0,,,,0,0
Yale University,YALE,General,,,,,,,,"3,87",327,106,,,,1703,916
Yale University,YALE,School of Engineering & Applied Science,,,,,,,,"3,7",324,102,,,,20,11
Yale University,YALE,Graduate School of Arts & Sciences,,,,,,,,"3,92",330,109,,,,278,134
Yale University,YALE,School of Public Health,,,,,,,,"3,81",327,106,,,,140,112
Yale University,YALE,School of Management,,,,,,,,"3,83",330,109,,,,9,5
Yale University,YALE,School of the Environment,,,,,,,,0,0,0,,,,0,0
University College London,UCL,General,,,,,,,,"3,7",323,100,,,,1316,928
University College London,UCL,Department of Computer Science,,,,,,,,"3,8",323,103,,,,54,27
University College London,UCL,"Department of Civil, Environmental & Geomatic Engineering",,,,,,,,"3,7",321,103,,,,2,2
University College London,UCL,Department of Division of Psychology & Language Sciences,,,,,,,,"3,17",0,0,,,,1,1
University College London,UCL,School of Management,,,,,,,,0,0,0,,,,4,2
University College London,UCL,Department of Mathematics,,,,,,,,"3,7",320,103,,,,1,1
University College London,UCL,Centre for Advanced Spatial Analysis,,,,,,,,0,0,0,,,,0,0
University College London,UCL,Department of Division of Biosciences,,,,,,,,0,0,0,,,,1,0
University College London,UCL,Department of Statistical Science,,,,,,,,"3,86",323,109,,,,4,2
University College London,UCL,Department of Economics,,,,,,,,0,0,0,,,,0,0
University College London,UCL,Department of Medical Physics and Biomedical Engineering,,,,,,,,0,0,0,,,,0,0
University College London,UCL,Department of Electronic and Electrical Engineering,,,,,,,,"3,75",322,100,,,,8,7
University College London,UCL,Department of Physics and Astronomy,,,,,,,,"3,75",323,100,,,,9,5
University College London,UCL,Queen Square Institute of Neurology,,,,,,,,"3,8",0,100,,,,1,1
University College London,UCL,The Bartlett School of Sustainable Construction,,,,,,,,0,0,0,,,,1,1
University College London,UCL,Department of History,,,,,,,,0,0,0,,,,0,0
Imperial College London,IMPERIAL,General,,,,,,,,"3,8",324,102,,,,1057,717
Imperial College London,IMPERIAL,Faculty of Engineering,,,,,,,,"3,81",324,105,,,,232,147
Imperial College London,IMPERIAL,Faculty of Natural Sciences,,,,,,,,"3,85",325,104,,,,45,23
Imperial College London,IMPERIAL,Imperial College Business School,,,,,,,,"3,8",326,107,,,,21,17
Imperial College London,IMPERIAL,Faculty of Medicine,,,,,,,,"3,8",319,103,,,,6,6
University of California--Los Angeles,UCLA,General,,,,,,,,"3,78",325,105,,,,3703,2328
University of California--Los Angeles,UCLA,Anderson School of Management,,,,,,,,"3,79",327,106,,,,64,42
University of California--Los Angeles,UCLA,Samueli School of Engineering,,,,,,,,"3,83",325,105,,,,608,383
University of California--Los Angeles,UCLA,College of Physical Sciences,,,,,,,,"3,86",331,106,,,,22,16
University of California--Los Angeles,UCLA,College of Social Sciences,,,,,,,,"3,69",327,107,,,,10,9
University of California--Los Angeles,UCLA,School of Public Health,,,,,,,,"3,7",327,103,,,,32,31
University of California--Los Angeles,UCLA,College of Letters and Science,,,,,,,,"3,72",324,107,,,,4,3
University of California--Los Angeles,UCLA,Luskin School of Public Affairs,,,,,,,,"3,45",325,0,,,,5,3
University of Pennsylvania,UPENN,General,,,,,,,,"3,79",325,105,,,,4776,2876
University of Pennsylvania,UPENN,School of Engineering and Applied Science,,,,,,,,"3,82",326,105,,,,1005,654
University of Pennsylvania,UPENN,College of Liberal and Professional Studies,,,,,,,,"3,8",325,104,,,,5,4
University of Pennsylvania,UPENN,School of Arts &? Sciences,,,,,,,,"3,81",325,105,,,,23,19
University of Pennsylvania,UPENN,Perelman School of Medicine,,,,,,,,"3,72",324,109,,,,14,6
University of Pennsylvania,UPENN,School of Social Policy &? Practice,,,,,,,,"3,65",327,105,,,,14,13
University of Pennsylvania,UPENN,Graduate School of Education,,,,,,,,"3,69",324,102,,,,13,11
University of Pennsylvania,UPENN,Annenberg School for Communication,,,,,,,,0,0,0,,,,0,0
University of Pennsylvania,UPENN,Weitzman School of Design,,,,,,,,"3,75",321,108,,,,12,12
University of Pennsylvania,UPENN,The Wharton School,,,,,,,,0,0,0,,,,1,0
University of California--San Francisco,UCSF,General,,,,,,,,"3,46",329,107,,,,19,8
Princeton University,PRINCETON,General,,,,,,,,"3,88",329,107,,,,466,158
Princeton University,PRINCETON,School of Engineering and Applied Science,,,,,,,,"3,91",328,110,,,,76,35
Princeton University,PRINCETON,Bendheim Center for Finance,,,,,,,,"3,98",335,111,,,,14,6
Princeton University,PRINCETON,Department of Economics,,,,,,,,0,0,0,,,,0,0
Princeton University,PRINCETON,Department of Geosciences,,,,,,,,0,0,0,,,,1,0
Princeton University,PRINCETON,Princeton School of Public and International Affairs,,,,,,,,0,0,0,,,,1,0
Princeton University,PRINCETON,Princeton University Graduate School,,,,,,,,"3,83",334,103,,,,8,4
University of Toronto,UTORONTO,General,,,,,,,,"3,77",325,104,,,,1222,952
University of Toronto,UTORONTO,Faculty of Arts & Science,,,,,,,,"3,9",326,106,,,,174,113
University of Toronto,UTORONTO,Faculty of Applied Science & Engineering,,,,,,,,"3,7",324,104,,,,100,94
University of Toronto,UTORONTO,School of Public Health,,,,,,,,"3,79",325,104,,,,20,16
University of Toronto,UTORONTO,Faculty of Information,,,,,,,,"3,77",325,109,,,,25,22
University of Toronto,UTORONTO,Rotman School of Management,,,,,,,,"3,7",325,100,,,,7,7
University of Toronto,UTORONTO,University of Toronto Mississauga,,,,,,,,0,0,0,,,,0,0
University of Toronto,UTORONTO,Ontario Institute for Studies in Education (OISE),,,,,,,,0,0,0,,,,0,0
University of Michigan--Ann Arbor,UMICH,General,,,,,,,,"3,76",324,104,,,,5450,4028
University of Michigan--Ann Arbor,UMICH,School of Information,,,,,,,,"3,77",324,107,,,,80,66
University of Michigan--Ann Arbor,UMICH,"College of Literature, Science, and the Arts",,,,,,,,"3,81",326,105,,,,270,206
University of Michigan--Ann Arbor,UMICH,College of Engineering(Michigan Engineering),,,,,,,,"3,8",325,104,,,,732,562
University of Michigan--Ann Arbor,UMICH,UM School of Public Health,,,,,,,,"3,64",324,105,,,,112,104
University of Michigan--Ann Arbor,UMICH,Medical School,,,,,,,,"3,86",324,107,,,,13,11
University of Michigan--Ann Arbor,UMICH,Ross School of Business,,,,,,,,"3,69",326,105,,,,6,4
University of Michigan--Ann Arbor,UMICH,School for Environment and Sustainability,,,,,,,,"3,68",326,106,,,,3,2
University of Michigan--Ann Arbor,UMICH,Stamps School of Art & Design,,,,,,,,0,0,0,,,,2,1
University of Michigan--Ann Arbor,UMICH,Institute for Social Research,,,,,,,,"3,86",320,104,,,,1,1
University of Michigan--Ann Arbor,UMICH,Gerald R. Ford School of Public Policy,,,,,,,,"3,85",308,98,,,,1,1
University of Michigan--Ann Arbor,UMICH,School of Kinesiology,,,,,,,,0,0,0,,,,0,0
University of California--San Diego,UCSD,General,,,,,,,,"3,8",325,104,,,,5614,3574
University of California--San Diego,UCSD,Rady School of Management,,,,,,,,"3,65",325,107,,,,60,43
University of California--San Diego,UCSD,John Muir College,,,,,,,,"3,81",325,102,,,,23,20
University of California--San Diego,UCSD,Jacobs School of Engineering,,,,,,,,"3,8",325,105,,,,1136,756
University of California--San Diego,UCSD,Thurgood Marshall College,,,,,,,,"3,77",321,102,,,,7,5
University of California--San Diego,UCSD,Scripps Institution of Oceanography,,,,,,,,66,0,102,,,,1,1
University of California--San Diego,UCSD,Revelle College,,,,,,,,"3,86",0,0,,,,4,3
University of California--San Diego,UCSD,Eleanor Roosevelt College,,,,,,,,4,329,0,,,,4,2
University of California--San Diego,UCSD,THE HERBERT WERTHEIM SCHOOL OF PUBLIC HEALTH AND HUMAN LONGEVITY SCIENCE,,,,,,,,"3,79",321,102,,,,13,11
University of California--San Diego,UCSD,SCHOOL OF GLOBAL POLICY & STRATEGY,,,,,,,,"3,64",322,103,,,,5,5
University of California--San Diego,UCSD,Division of Arts and Humanities,,,,,,,,0,0,0,,,,1,0
Cornell University,CORNELL,General,,,,,,,,"3,78",325,105,,,,4896,3386
Cornell University,CORNELL,College of Engineering,,,,,,,,"3,8",325,105,,,,421,312
Cornell University,CORNELL,The Ann S. Bowers College of Computing and Information Science,,,,,,,,"3,78",326,106,,,,184,132
Cornell University,CORNELL,Weill Cornell Medicine,,,,,,,,"3,79",323,106,,,,44,40
Cornell University,CORNELL,Cornell SC Johnson College of Business,,,,,,,,"3,73",325,106,,,,25,23
Cornell University,CORNELL,College of Agriculture and Life Sciences,,,,,,,,"3,83",320,101,,,,5,3
Cornell University,CORNELL,School of Industrial and Labor Relations,,,,,,,,0,0,0,,,,1,0
Cornell University,CORNELL,College of Human Ecology,,,,,,,,"3,75",327,102,,,,9,7
Cornell University,CORNELL,Graduate School,,,,,,,,"3,87",327,105,,,,30,16
University of Chicago,UCHICAGO,General,,,,,,,,"3,8",327,107,,,,2812,1986
University of Chicago,UCHICAGO,Harris School of Public Policy Studies,,,,,,,,"3,65",327,107,,,,23,22
University of Chicago,UCHICAGO,Professional Education,,,,,,,,"3,78",328,106,,,,88,78
University of Chicago,UCHICAGO,Physical Sciences Division,,,,,,,,"3,8",328,106,,,,647,466
University of Chicago,UCHICAGO,Pritzker School of Molecular Engineering,,,,,,,,"3,84",329,104,,,,12,8
University of Chicago,UCHICAGO,Social Sciences Division,,,,,,,,"3,95",332,111,,,,5,3
University of Chicago,UCHICAGO,Humanities Division,,,,,,,,0,0,0,,,,0,0
University of Chicago,UCHICAGO,The University of Chicago Booth School of Business,,,,,,,,0,0,0,,,,2,1
University of Chicago,UCHICAGO,"Crown Family School of Social Work, Policy, and Practice",,,,,,,,"3,45",325,0,,,,1,1
University of Chicago,UCHICAGO,Biological Sciences Division,,,,,,,,"3,88",331,0,,,,1,1
Northwestern University,NORTHWESTERN,General,,,,,,,,"3,74",325,105,,,,3218,2366
Northwestern University,NORTHWESTERN,McCormick School of Engineering,,,,,,,,"3,79",325,105,,,,704,503
Northwestern University,NORTHWESTERN,Weinberg College of Arts&Sciences,,,,,,,,"3,86",325,104,,,,28,24
Northwestern University,NORTHWESTERN,"School of Journalism, Media, Integrated Marketing Communications",,,,,,,,"3,74",324,105,,,,4,3
Northwestern University,NORTHWESTERN,School of Communication,,,,,,,,0,0,0,,,,0,0
Northwestern University,NORTHWESTERN,School of Professional Stidoes,,,,,,,,"3,7",319,93,,,,3,3
Northwestern University,NORTHWESTERN,Feinberg School of Medicine,,,,,,,,"3,75",321,107,,,,6,5
Northwestern University,NORTHWESTERN,School of Education & Social Policy,,,,,,,,0,0,0,,,,0,0
Northwestern University,NORTHWESTERN,Kellogg School of Management,,,,,,,,0,0,0,,,,1,0
Duke University,DUKE,General,,,,,,,,"3,8",326,105,,,,4835,3338
Duke University,DUKE,Trinity College of Arts & Sciences,,,,,,,,"3,86",327,107,,,,135,102
Duke University,DUKE,Pratt school of engineering,,,,,,,,"3,8",326,105,,,,784,620
Duke University,DUKE,Department of Computer Science,,,,,,,,"3,84",328,109,,,,210,124
Duke University,DUKE,School of Graduate,,,,,,,,0,0,0,,,,1,1
Duke University,DUKE,Social Science Research Institute,,,,,,,,"3,79",329,105,,,,81,37
Duke University,DUKE,School of Medicine,,,,,,,,"3,71",327,105,,,,84,72
Duke University,DUKE,Department of Mathematics,,,,,,,,"3,7",327,105,,,,3,1
Duke University,DUKE,School of Business,,,,,,,,"3,76",330,106,,,,85,50
Duke University,DUKE,Trinity College of Arts and Sciences,,,,,,,,0,0,0,,,,0,0
Duke University,DUKE,SANFORD SCHOOL OF PUBLIC POLICY,,,,,,,,"3,54",324,105,,,,36,28
National University of Singapore,NUS,General,,,,,,,,"3,7",324,100,,,,2180,1836
National University of Singapore,NUS,School of Computing,,,,,,,,"3,81",325,105,,,,122,112
National University of Singapore,NUS,NUS Engineering,,,,,,,,"3,71",320,104,,,,29,23
National University of Singapore,NUS,Risk Management Institute,,,,,,,,"3,82",329,105,,,,29,29
National University of Singapore,NUS,Faculty of Science,,,,,,,,"3,72",325,105,,,,145,111
National University of Singapore,NUS,Integrative Sciences and Engineering Programme,,,,,,,,"3,88",328,108,,,,8,7
National University of Singapore,NUS,Business School,,,,,,,,"3,6",326,109,,,,27,22
National University of Singapore,NUS,The Logistics Institute - Asia Pacific,,,,,,,,0,0,0,,,,0,0
National University of Singapore,NUS,Faculty of Arts and Social Sciences,,,,,,,,0,0,0,,,,0,0
National University of Singapore,NUS,NUS School of Continuing and Lifelong Education,,,,,,,,"3,5",320,100,,,,3,3
National University of Singapore,NUS,Institute of Systems Science,,,,,,,,0,0,0,,,,1,1
National University of Singapore,NUS,School of Law,,,,,,,,0,0,0,,,,0,0
University of Melbourne,MELBOURNE,General,,,,,,,,"3,57",321,100,,,,335,307
University of Sydney,SYDNEY. AU,General,,,,,,,,"3,5",320,100,,,,349,341
ETH Zurich,ETHZ,General,,,,,,,,"3,9",325,105,,,,942,581
ETH Zurich,ETHZ,Department of Computer Science,,,,,,,,"3,91",325,107,,,,166,91
ETH Zurich,ETHZ,Department of Information Technology and Electrical Engineering,,,,,,,,"3,94",326,105,,,,56,39
ETH Zurich,ETHZ,Department of Mechanical and Process Engineering,,,,,,,,"3,91",325,108,,,,49,36
ETH Zurich,ETHZ,Department of Biosystems Science and Engineering,,,,,,,,"3,8",326,107,,,,12,11
ETH Zurich,ETHZ,Department of Materials,,,,,,,,"3,75",329,103,,,,5,5
ETH Zurich,ETHZ,Department of Mathematics,,,,,,,,"3,8",326,107,,,,23,14
ETH Zurich,ETHZ,Department of Chemistry and Applied Biosciences,,,,,,,,0,0,0,,,,2,2
ETH Zurich,ETHZ,Department of Earth Sciences,,,,,,,,0,0,0,,,,0,0
ETH Zurich,ETHZ,"Department of Civil, Environmental and Geomatic Engineering",,,,,,,,90,0,100,,,,2,2
ETH Zurich,ETHZ,"Department of Humanities, Social and Political Sciences",,,,,,,,0,0,0,,,,1,0
ETH Zurich,ETHZ,Department of Environmental Systems Science,,,,,,,,"3,8",0,109,,,,1,1
ETH Zurich,ETHZ,"Department of Management, Technology, and Economics",,,,,,,,"3,73",325,104,,,,4,3
Nanyang Technological University,NTU,General,,,,,,,,"3,6",323,100,,,,1299,1193
Nanyang Technological University,NTU,Nanyang Business School,,,,,,,,"3,56",326,109,,,,23,19
Nanyang Technological University,NTU,School of Electrical and Electronic Engineering,,,,,,,,"3,6",321,102,,,,9,9
Nanyang Technological University,NTU,College of Engineering,,,,,,,,"3,58",323,102,,,,37,36
Nanyang Technological University,NTU,College of Science,,,,,,,,"3,7",325,104,,,,54,44
Nanyang Technological University,NTU,Wee Kim Wee School of Communication and Information,,,,,,,,"3,69",325,107,,,,5,5
Nanyang Technological University,NTU,School of Humanities,,,,,,,,0,0,0,,,,0,0
